track_id,relation,t_start,t_end,z_min_m,x_inner_absmin_m,event,clearance_m,side,speed_difference_mps,score
341,cross_side,135.75,136.83,8.4,8.11,crossing_traffic_near,,,,
354,cross_side,136.33,139.58,8.2,0.0,crossing_traffic_near,,,,
408,cross_side,143.67,144.0,9.6,3.74,crossing_traffic_near,,,,
432,cross_side,145.92,146.25,8.5,0.14,crossing_traffic_near,,,,
447,cross_side,146.67,147.0,9.7,4.05,crossing_traffic_near,,,,
458,cross_side,148.17,149.33,8.8,0.0,crossing_traffic_near,,,,
514,cross_side,154.58,155.0,9.6,3.47,crossing_traffic_near,,,,
548,cross_side,158.42,159.17,11.5,0.0,crossing_traffic_near,,,,
564,cross_side,159.42,160.58,9.8,0.91,crossing_traffic_near,,,,
583,cross_side,161.75,162.58,9.3,1.13,crossing_traffic_near,,,,
588,cross_side,163.08,163.5,8.9,8.61,crossing_traffic_near,,,,
611,cross_side,180.08,190.58,9.0,0.0,crossing_traffic_near,,,,
774,cross_side,201.58,204.42,3.1,0.0,crossing_traffic_near,,,,
855,cross_side,206.0,206.5,7.6,0.83,crossing_traffic_near,,,,
914,cross_side,208.58,210.58,6.6,3.72,crossing_traffic_near,,,,
979,cross_side,214.25,222.08,5.7,0.0,crossing_traffic_near,,,,
989,cross_side,215.17,223.67,5.1,0.0,crossing_traffic_near,,,,
1018,cross_side,220.0,224.25,7.5,2.14,crossing_traffic_near,,,,
1021,cross_side,220.25,221.42,6.7,0.99,crossing_traffic_near,,,,
1032,cross_side,220.83,224.33,4.5,3.12,crossing_traffic_near,,,,
1035,cross_side,220.92,222.08,6.6,0.0,crossing_traffic_near,,,,
1036,cross_side,221.08,222.5,7.1,3.61,crossing_traffic_near,,,,
1041,cross_side,221.67,225.25,7.0,3.02,crossing_traffic_near,,,,
1044,cross_side,222.25,223.25,7.7,4.7,crossing_traffic_near,,,,
1060,cross_side,223.5,224.58,6.0,1.21,crossing_traffic_near,,,,
1066,ego_lane,223.83,225.83,5.3,0.0,vehicle_close_in_my_lane,,,,
1067,cross_side,224.08,226.83,5.9,0.0,crossing_traffic_near,,,,
1068,cross_side,224.25,224.92,8.1,10.35,crossing_traffic_near,,,,
1070,cross_side,224.92,230.92,5.5,0.0,crossing_traffic_near,,,,
1075,cross_side,225.75,233.58,4.1,0.0,crossing_traffic_near,,,,
1077,cross_side,225.92,234.17,2.9,0.0,crossing_traffic_near,,,,
1083,parked,226.83,227.5,6.9,4.83,overtaken_by_vehicle,5.3,left,0.6,
1085,cross_side,227.0,235.75,3.4,0.0,crossing_traffic_near,,,,
1088,cross_side,227.42,231.33,5.3,1.42,crossing_traffic_near,,,,
1119,cross_side,230.58,235.33,4.2,1.44,crossing_traffic_near,,,,
1145,cross_side,234.5,237.5,3.8,0.5,crossing_traffic_near,,,,
1164,cross_side,235.17,236.58,5.2,2.34,crossing_traffic_near,,,,
1183,cross_side,236.25,243.0,5.0,0.32,crossing_traffic_near,,,,
1208,cross_side,237.83,241.58,5.0,0.6,crossing_traffic_near,,,,
1289,cross_side,249.08,263.5,6.4,6.7,crossing_traffic_near,,,,
1310,cross_side,254.67,266.08,3.2,2.09,crossing_traffic_near,,,,
1467,cross_side,271.08,274.17,9.0,0.0,crossing_traffic_near,,,,
1510,cross_side,275.58,303.42,9.8,0.0,crossing_traffic_near,,,,
1546,cross_side,286.92,291.17,10.6,1.41,crossing_traffic_near,,,,
1548,cross_side,287.75,293.92,6.5,2.36,crossing_traffic_near,,,,
1550,cross_side,288.33,306.25,9.5,2.91,crossing_traffic_near,,,,
1551,cross_side,289.67,293.75,11.0,17.15,crossing_traffic_near,,,,
1555,cross_side,290.58,295.58,9.4,2.55,crossing_traffic_near,,,,
1562,cross_side,293.08,303.75,6.6,0.0,crossing_traffic_near,,,,
1576,cross_side,294.75,298.0,9.8,3.81,crossing_traffic_near,,,,
1582,cross_side,295.58,305.17,8.9,0.0,crossing_traffic_near,,,,
1601,cross_side,300.0,307.42,8.1,1.32,crossing_traffic_near,,,,
1631,cross_side,304.25,306.0,11.6,9.14,crossing_traffic_near,,,,
1657,adjacent_same,306.42,310.67,2.3,0.76,overtaken_by_vehicle,1.81,left,8.3,
1664,parked,307.17,321.33,3.9,1.73,overtaken_by_vehicle,3.45,left,1.1,
1799,cross_side,317.25,333.67,10.7,0.0,crossing_traffic_near,,,,
1857,cross_side,327.75,334.67,10.7,7.63,crossing_traffic_near,,,,
1863,cross_side,328.67,330.83,5.4,1.84,crossing_traffic_near,,,,
1887,cross_side,333.83,341.92,8.5,0.0,crossing_traffic_near,,,,
1890,cross_side,335.08,345.67,7.6,0.0,crossing_traffic_near,,,,
1901,cross_side,339.92,354.42,10.2,1.28,crossing_traffic_near,,,,
1921,cross_side,346.17,354.75,10.9,0.39,crossing_traffic_near,,,,
1925,cross_side,346.83,355.33,6.6,0.0,crossing_traffic_near,,,,
1933,cross_side,349.42,355.0,8.5,5.27,crossing_traffic_near,,,,
1956,cross_side,353.25,359.08,7.4,4.94,crossing_traffic_near,,,,
1999,parked,356.0,367.5,2.2,0.0,overtaken_by_vehicle,1.42,left,2.6,
1999,parked,356.0,367.5,2.2,0.0,close_pass_under_1p5m,1.42,left,,
2063,adjacent_same,361.17,371.42,2.1,1.32,overtaken_by_vehicle,1.46,left,3.1,
2063,adjacent_same,361.17,371.42,2.1,1.32,close_pass_under_1p5m,1.46,left,,
2074,cross_side,362.17,375.17,4.4,2.04,overtaken_by_vehicle,4.7,left,2.5,
2074,cross_side,362.17,375.17,4.4,2.04,crossing_traffic_near,,,,
2109,adjacent_same,366.17,369.08,3.9,3.91,overtaken_by_vehicle,3.96,left,3.0,
2175,cross_side,373.75,374.5,7.7,8.69,crossing_traffic_near,,,,
2188,parked,375.17,384.08,4.2,5.27,overtaken_by_vehicle,5.61,left,0.6,
2238,cross_side,382.25,385.0,8.1,1.74,crossing_traffic_near,,,,
2255,cross_side,384.75,388.17,1.6,1.04,crossing_traffic_near,,,,
2290,cross_side,389.58,394.75,6.9,0.0,crossing_traffic_near,,,,
2305,cross_side,391.67,396.75,7.1,0.0,crossing_traffic_near,,,,
2349,cross_side,401.42,402.67,10.9,9.18,crossing_traffic_near,,,,
2374,cross_side,403.5,406.83,6.9,5.94,crossing_traffic_near,,,,
2389,cross_side,405.0,407.92,6.8,5.97,crossing_traffic_near,,,,
2530,cross_side,414.5,416.67,11.5,12.48,crossing_traffic_near,,,,
2638,ego_lane,426.0,430.92,1.5,1.07,vehicle_close_in_my_lane,,,,
2793,cross_side,442.67,449.0,2.0,0.28,crossing_traffic_near,,,,
2824,ego_lane,446.75,447.58,4.8,1.3,vehicle_close_in_my_lane,,,,
2862,cross_side,450.42,461.67,11.1,5.5,crossing_traffic_near,,,,
2915,cross_side,456.75,461.75,8.8,7.4,crossing_traffic_near,,,,
2916,cross_side,456.83,461.0,10.4,9.97,crossing_traffic_near,,,,
2985,cross_side,461.58,462.67,8.1,6.61,crossing_traffic_near,,,,
3031,adjacent_same,465.08,469.25,2.5,0.0,overtaken_by_vehicle,0.22,left,6.0,
3031,adjacent_same,465.08,469.25,2.5,0.0,close_pass_under_1p5m,0.22,left,,
3039,cross_side,465.92,467.5,9.1,4.47,crossing_traffic_near,,,,
3078,cross_side,469.58,470.0,3.9,3.5,crossing_traffic_near,,,,
3093,cross_side,471.0,471.5,8.8,10.1,crossing_traffic_near,,,,
3095,adjacent_same,471.08,476.0,5.9,0.68,overtaken_by_vehicle,2.87,left,4.4,
3112,cross_side,471.83,485.25,6.2,4.06,crossing_traffic_near,,,,
3141,cross_side,474.25,477.5,11.2,13.08,crossing_traffic_near,,,,
3165,cross_side,476.75,480.42,11.1,13.56,crossing_traffic_near,,,,
3253,cross_side,490.75,499.08,11.9,8.94,crossing_traffic_near,,,,
3287,cross_side,494.25,495.0,12.0,12.03,crossing_traffic_near,,,,
3300,cross_side,495.33,502.0,9.8,8.47,crossing_traffic_near,,,,
3321,cross_side,497.42,510.92,11.6,13.28,crossing_traffic_near,,,,
3335,cross_side,498.17,505.83,9.1,0.0,crossing_traffic_near,,,,
3345,cross_side,499.33,510.67,4.8,0.0,crossing_traffic_near,,,,
3371,cross_side,502.08,508.67,10.0,0.04,crossing_traffic_near,,,,
3386,cross_side,504.83,508.0,11.0,6.13,crossing_traffic_near,,,,
3389,cross_side,505.17,511.42,10.2,10.52,crossing_traffic_near,,,,
3513,cross_side,527.75,536.67,11.6,0.0,crossing_traffic_near,,,,
3648,cross_side,550.33,552.08,4.8,6.17,crossing_traffic_near,,,,
3673,cross_side,551.25,553.33,7.1,4.92,crossing_traffic_near,,,,
3683,cross_side,551.67,552.0,4.9,6.17,overtaken_by_vehicle,6.33,left,1.9,
3683,cross_side,551.67,552.0,4.9,6.17,crossing_traffic_near,,,,
3710,cross_side,553.42,558.67,4.1,4.03,overtaken_by_vehicle,4.03,left,1.4,
3710,cross_side,553.42,558.67,4.1,4.03,crossing_traffic_near,,,,
3911,parked,570.58,571.0,3.3,2.66,overtaken_by_vehicle,2.66,left,1.7,
3913,cross_side,570.75,574.83,1.5,0.55,crossing_traffic_near,,,,
3931,oncoming,572.25,573.58,2.6,0.98,oncoming_close_pass,,,,
3959,cross_side,574.0,579.75,2.8,0.0,crossing_traffic_near,,,,
3961,cross_side,574.25,575.17,7.6,0.0,crossing_traffic_near,,,,
3962,cross_side,574.42,577.08,6.2,0.81,crossing_traffic_near,,,,
3968,cross_side,575.0,576.17,10.4,0.0,crossing_traffic_near,,,,
3983,cross_side,576.25,577.17,4.8,3.47,crossing_traffic_near,,,,
4003,cross_side,578.92,580.0,6.6,7.28,crossing_traffic_near,,,,
4012,cross_side,580.0,585.83,8.0,0.0,crossing_traffic_near,,,,
4039,cross_side,583.08,588.58,10.9,0.0,crossing_traffic_near,,,,
4073,cross_side,586.17,604.42,8.1,9.87,crossing_traffic_near,,,,
4079,cross_side,587.25,602.92,11.0,9.0,crossing_traffic_near,,,,
4095,cross_side,599.83,604.92,6.1,7.11,crossing_traffic_near,,,,
4096,cross_side,600.0,604.0,9.9,10.94,crossing_traffic_near,,,,
4100,cross_side,600.92,603.58,4.8,1.9,crossing_traffic_near,,,,
4101,cross_side,601.08,605.67,7.3,3.68,crossing_traffic_near,,,,
4103,cross_side,601.67,604.75,6.8,7.67,crossing_traffic_near,,,,
4121,cross_side,603.58,608.0,7.1,0.38,crossing_traffic_near,,,,
4123,cross_side,603.75,604.75,7.1,6.49,crossing_traffic_near,,,,
4146,cross_side,607.08,609.92,8.4,4.08,crossing_traffic_near,,,,
4230,cross_side,614.25,616.75,10.0,12.47,crossing_traffic_near,,,,
4524,cross_side,643.92,647.67,11.6,13.48,crossing_traffic_near,,,,
4578,cross_side,652.17,655.33,11.0,9.5,crossing_traffic_near,,,,
4618,cross_side,656.92,657.33,5.1,6.17,crossing_traffic_near,,,,
4694,cross_side,665.92,671.67,6.1,0.0,crossing_traffic_near,,,,
4827,cross_side,683.92,689.33,4.7,2.34,crossing_traffic_near,,,,
4841,cross_side,684.75,685.5,8.2,3.88,crossing_traffic_near,,,,
4861,cross_side,686.17,689.92,7.9,3.5,crossing_traffic_near,,,,
4974,cross_side,712.33,719.67,7.1,6.12,crossing_traffic_near,,,,
5024,cross_side,725.42,728.33,9.5,2.44,crossing_traffic_near,,,,
5066,cross_side,732.92,746.08,8.1,0.0,crossing_traffic_near,,,,
5076,cross_side,734.75,744.33,5.6,0.0,crossing_traffic_near,,,,
5094,cross_side,736.58,737.25,10.5,0.0,crossing_traffic_near,,,,
5119,cross_side,740.83,741.83,6.6,0.0,crossing_traffic_near,,,,
5138,cross_side,743.92,751.0,11.6,2.91,crossing_traffic_near,,,,
5139,cross_side,744.08,745.17,10.0,4.36,crossing_traffic_near,,,,
5152,cross_side,750.92,766.25,4.6,3.68,crossing_traffic_near,,,,
5153,cross_side,751.17,766.17,4.0,0.38,crossing_traffic_near,,,,
5181,cross_side,762.92,768.0,5.5,1.92,crossing_traffic_near,,,,
5403,parked,788.08,788.42,4.0,0.0,overtaken_by_vehicle,0.0,right,5.3,
5403,parked,788.08,788.42,4.0,0.0,close_pass_under_1p5m,0.0,right,,
5430,cross_side,790.83,799.17,7.1,7.83,crossing_traffic_near,,,,
