,ego_lane,adjacent_same,oncoming,parked,cross_side
ego_lane,3,4,1,0,3
adjacent_same,4,16,1,1,3
oncoming,0,4,10,7,2
parked,15,14,21,95,23
cross_side,1,6,5,11,45
