,ego_lane,adjacent_same,oncoming,parked,cross_side
ego_lane,3,4,0,6,3
adjacent_same,4,12,1,16,5
oncoming,0,3,5,14,4
parked,5,11,10,154,21
cross_side,2,4,3,24,64
