,ego_lane,adjacent_same,oncoming,parked,cross_side
ego_lane,0,9,0,1,1
adjacent_same,0,13,6,5,1
oncoming,0,6,13,1,3
parked,0,45,42,60,21
cross_side,0,10,10,18,30
