,ego_lane,adjacent_same,oncoming,parked,cross_side
ego_lane,2,12,0,1,1
adjacent_same,0,21,7,5,5
oncoming,0,6,14,2,4
parked,0,54,48,63,36
cross_side,1,16,14,25,41
