track_id,relation,t_start,t_end,z_min_m,x_inner_absmin_m,event,clearance_m,side,speed_difference_mps,score
303,parked,39.42,40.08,2.8,2.01,overtaken_by_vehicle,2.08,right,0.5,
347,cross_side,46.75,48.33,9.9,4.63,crossing_traffic_near,,,,
469,cross_side,65.5,67.17,7.3,3.71,crossing_traffic_near,,,,
664,parked,91.42,93.83,1.7,0.52,overtaken_by_vehicle,0.76,right,4.6,
664,parked,91.42,93.83,1.7,0.52,close_pass_under_1p5m,0.76,right,,
680,parked,93.75,99.0,4.2,0.0,overtaken_by_vehicle,6.54,right,6.4,
691,parked,94.75,99.0,1.9,0.0,overtaken_by_vehicle,1.04,right,5.4,
691,parked,94.75,99.0,1.9,0.0,close_pass_under_1p5m,1.04,right,,
710,cross_side,97.67,99.08,4.8,0.0,crossing_traffic_near,,,,
993,parked,107.92,108.33,6.3,6.95,overtaken_by_vehicle,7.26,left,1.1,
1050,parked,114.17,114.42,7.1,8.33,overtaken_by_vehicle,8.33,right,2.1,
1080,cross_side,115.92,122.92,2.3,0.84,crossing_traffic_near,,,,
1113,cross_side,118.83,124.42,1.9,1.08,crossing_traffic_near,,,,
1162,oncoming,123.33,126.92,2.2,1.46,oncoming_close_pass,,,,
1286,parked,132.33,132.83,1.8,0.63,overtaken_by_vehicle,0.63,right,1.0,
1286,parked,132.33,132.83,1.8,0.63,close_pass_under_1p5m,0.63,right,,
1369,cross_side,139.33,153.92,1.4,0.0,crossing_traffic_near,,,,
1451,cross_side,148.92,156.92,9.8,0.0,crossing_traffic_near,,,,
1476,cross_side,152.42,172.5,4.4,0.0,crossing_traffic_near,,,,
1477,cross_side,152.42,175.58,2.9,0.0,crossing_traffic_near,,,,
1505,cross_side,158.58,162.75,5.4,0.0,crossing_traffic_near,,,,
1508,cross_side,159.92,163.67,8.1,0.0,crossing_traffic_near,,,,
1522,cross_side,163.33,167.25,7.9,0.0,crossing_traffic_near,,,,
1607,ego_lane,182.17,195.17,5.1,0.0,vehicle_close_in_my_lane,,,,
1612,cross_side,182.58,185.92,10.0,3.11,crossing_traffic_near,,,,
1629,cross_side,183.67,187.67,8.9,0.84,crossing_traffic_near,,,,
1636,cross_side,185.33,189.25,6.8,6.39,crossing_traffic_near,,,,
1644,cross_side,186.42,187.33,9.6,9.24,crossing_traffic_near,,,,
1747,parked,200.0,200.67,4.2,4.21,overtaken_by_vehicle,4.21,left,0.6,
2047,cross_side,220.67,225.17,6.9,0.0,crossing_traffic_near,,,,
2072,cross_side,223.42,226.25,8.8,0.0,crossing_traffic_near,,,,
2087,cross_side,224.0,228.17,10.1,0.0,crossing_traffic_near,,,,
2093,cross_side,224.5,231.33,4.4,0.0,crossing_traffic_near,,,,
2101,cross_side,226.0,230.17,9.8,0.0,crossing_traffic_near,,,,
2110,cross_side,226.67,227.58,10.0,12.69,crossing_traffic_near,,,,
2123,cross_side,228.42,256.33,6.1,0.0,crossing_traffic_near,,,,
2132,cross_side,229.33,231.83,9.5,0.0,crossing_traffic_near,,,,
2148,cross_side,231.33,239.83,8.2,0.0,crossing_traffic_near,,,,
2153,cross_side,232.5,266.08,5.6,1.41,crossing_traffic_near,,,,
2158,cross_side,232.92,265.92,1.5,0.0,crossing_traffic_near,,,,
2167,cross_side,235.42,236.17,9.1,3.04,crossing_traffic_near,,,,
2172,cross_side,236.83,243.17,4.7,0.0,crossing_traffic_near,,,,
2174,cross_side,237.92,260.0,5.3,0.0,crossing_traffic_near,,,,
2177,cross_side,241.33,264.67,11.7,0.0,crossing_traffic_near,,,,
2179,cross_side,242.5,258.25,11.5,7.26,crossing_traffic_near,,,,
2192,cross_side,246.75,267.42,1.5,0.0,crossing_traffic_near,,,,
2213,cross_side,253.17,259.33,4.1,0.0,crossing_traffic_near,,,,
2222,cross_side,255.25,260.83,8.8,0.0,crossing_traffic_near,,,,
2229,cross_side,256.42,265.83,8.0,0.0,crossing_traffic_near,,,,
2502,cross_side,282.83,290.0,8.1,0.0,crossing_traffic_near,,,,
2504,cross_side,282.83,285.75,10.6,8.85,crossing_traffic_near,,,,
2552,cross_side,291.75,303.75,4.6,0.0,crossing_traffic_near,,,,
2732,cross_side,313.33,317.67,2.6,1.99,crossing_traffic_near,,,,
2786,parked,317.33,318.17,2.5,1.91,overtaken_by_vehicle,2.92,left,1.4,
2939,ego_lane,327.67,328.42,2.3,1.22,overtaken_by_vehicle,1.22,right,1.3,
2939,ego_lane,327.67,328.42,2.3,1.22,close_pass_under_1p5m,1.22,right,,
2939,ego_lane,327.67,328.42,2.3,1.22,vehicle_close_in_my_lane,,,,
3037,cross_side,335.0,349.58,4.6,0.0,crossing_traffic_near,,,,
3042,cross_side,336.0,343.67,2.0,1.56,crossing_traffic_near,,,,
3104,cross_side,341.17,348.5,8.6,10.21,crossing_traffic_near,,,,
3138,cross_side,346.58,348.58,10.4,12.44,crossing_traffic_near,,,,
3308,parked,356.75,357.08,2.2,1.44,overtaken_by_vehicle,1.44,right,2.3,
3308,parked,356.75,357.08,2.2,1.44,close_pass_under_1p5m,1.44,right,,
3715,cross_side,386.58,387.0,6.8,6.73,crossing_traffic_near,,,,
3718,cross_side,386.92,388.67,4.5,0.0,crossing_traffic_near,,,,
3723,cross_side,387.58,388.58,4.4,0.0,crossing_traffic_near,,,,
3750,cross_side,390.83,392.92,4.2,0.0,crossing_traffic_near,,,,
3760,cross_side,394.42,396.17,6.1,0.0,crossing_traffic_near,,,,
3761,cross_side,395.83,399.33,2.2,0.0,crossing_traffic_near,,,,
