track_id,relation,t_start,t_end,z_min_m,x_inner_absmin_m,event,clearance_m,side,speed_difference_mps,score
244,cross_side,99.17,99.83,8.8,0.47,crossing_traffic_near,,,,
249,ego_lane,99.33,99.58,3.3,4.58,overtaken_by_vehicle,4.58,right,4.0,
249,ego_lane,99.33,99.58,3.3,4.58,vehicle_close_in_my_lane,,,,
351,cross_side,106.25,107.5,6.8,4.98,crossing_traffic_near,,,,
385,cross_side,108.67,109.25,5.2,2.71,crossing_traffic_near,,,,
398,cross_side,109.42,110.83,5.6,3.35,crossing_traffic_near,,,,
417,cross_side,111.33,112.42,6.8,4.77,crossing_traffic_near,,,,
435,cross_side,117.92,135.25,10.7,17.3,crossing_traffic_near,,,,
612,cross_side,143.0,153.83,5.7,0.0,crossing_traffic_near,,,,
762,parked,153.42,154.58,1.8,1.59,overtaken_by_vehicle,1.59,right,0.6,
839,parked,156.33,156.75,1.7,0.77,overtaken_by_vehicle,1.03,right,0.6,
839,parked,156.33,156.75,1.7,0.77,close_pass_under_1p5m,1.03,right,,
847,parked,157.25,157.58,1.7,1.15,overtaken_by_vehicle,1.15,right,0.8,
847,parked,157.25,157.58,1.7,1.15,close_pass_under_1p5m,1.15,right,,
875,cross_side,160.17,164.58,11.7,15.15,crossing_traffic_near,,,,
1038,cross_side,173.67,179.17,9.6,6.45,crossing_traffic_near,,,,
1385,cross_side,197.5,198.92,11.3,12.55,crossing_traffic_near,,,,
1400,cross_side,197.83,198.92,11.5,13.36,crossing_traffic_near,,,,
1763,cross_side,226.33,237.08,7.6,5.17,crossing_traffic_near,,,,
1862,parked,235.17,263.58,2.1,0.0,overtaken_by_vehicle,1.73,left,1.6,
1871,ego_lane,235.75,236.25,1.8,1.56,vehicle_close_in_my_lane,,,,
1928,parked,239.67,254.0,4.0,5.0,overtaken_by_vehicle,5.0,left,3.2,
2077,parked,247.92,251.08,4.4,5.09,overtaken_by_vehicle,5.21,left,5.6,
2119,parked,250.17,259.75,2.1,1.47,overtaken_by_vehicle,1.74,left,5.6,
2181,adjacent_same,254.25,261.33,2.9,2.35,overtaken_by_vehicle,2.86,left,4.3,
2291,parked,262.33,267.83,4.3,4.08,overtaken_by_vehicle,4.31,left,4.3,
2340,parked,265.83,277.75,4.1,3.86,overtaken_by_vehicle,4.43,left,5.4,
2525,cross_side,278.58,287.17,8.8,13.13,crossing_traffic_near,,,,
2526,cross_side,278.58,285.25,10.8,16.1,crossing_traffic_near,,,,
2789,parked,299.0,302.67,6.0,7.28,overtaken_by_vehicle,8.39,left,7.8,
2878,cross_side,311.0,341.17,6.7,0.0,crossing_traffic_near,,,,
3057,parked,325.17,325.5,1.7,0.74,overtaken_by_vehicle,0.74,right,1.4,
3057,parked,325.17,325.5,1.7,0.74,close_pass_under_1p5m,0.74,right,,
3077,cross_side,327.0,346.58,7.3,0.56,crossing_traffic_near,,,,
3079,cross_side,327.08,347.42,7.6,0.0,crossing_traffic_near,,,,
3084,ego_lane,327.75,328.17,1.5,0.77,overtaken_by_vehicle,0.77,right,1.6,
3084,ego_lane,327.75,328.17,1.5,0.77,close_pass_under_1p5m,0.77,right,,
3084,ego_lane,327.75,328.17,1.5,0.77,vehicle_close_in_my_lane,,,,
3096,cross_side,328.67,333.5,3.0,3.13,crossing_traffic_near,,,,
3102,cross_side,329.08,345.25,6.8,0.0,crossing_traffic_near,,,,
3106,ego_lane,329.33,331.75,4.4,4.72,vehicle_close_in_my_lane,,,,
3146,cross_side,331.67,341.17,9.6,11.12,crossing_traffic_near,,,,
3153,cross_side,332.42,342.17,9.3,3.2,crossing_traffic_near,,,,
3182,cross_side,335.25,341.75,11.2,13.83,crossing_traffic_near,,,,
3207,cross_side,338.58,342.75,3.2,2.05,overtaken_by_vehicle,3.47,left,4.0,
3207,cross_side,338.58,342.75,3.2,2.05,crossing_traffic_near,,,,
3277,cross_side,342.17,343.92,5.2,8.07,crossing_traffic_near,,,,
3302,parked,343.33,344.0,5.6,6.55,overtaken_by_vehicle,6.75,right,21.1,
3417,cross_side,351.25,352.42,10.7,16.04,crossing_traffic_near,,,,
3429,parked,351.75,356.92,5.3,8.5,overtaken_by_vehicle,10.08,left,0.6,
3465,cross_side,355.58,357.33,10.3,13.94,crossing_traffic_near,,,,
3558,cross_side,364.92,406.42,10.1,1.39,crossing_traffic_near,,,,
3580,cross_side,371.5,380.58,11.6,16.19,crossing_traffic_near,,,,
3697,cross_side,392.5,395.5,10.8,0.0,crossing_traffic_near,,,,
3711,cross_side,393.42,394.25,10.8,1.57,crossing_traffic_near,,,,
3738,cross_side,395.67,407.17,9.6,0.0,crossing_traffic_near,,,,
3746,cross_side,397.5,409.42,9.5,0.0,crossing_traffic_near,,,,
4066,cross_side,423.67,435.5,8.4,6.68,crossing_traffic_near,,,,
4112,cross_side,426.92,439.58,9.5,0.0,crossing_traffic_near,,,,
4153,cross_side,429.92,432.42,6.3,6.61,crossing_traffic_near,,,,
4184,cross_side,432.08,439.33,10.7,0.0,crossing_traffic_near,,,,
4194,cross_side,433.5,435.33,9.4,11.04,crossing_traffic_near,,,,
4228,cross_side,435.67,437.33,7.2,8.27,crossing_traffic_near,,,,
4238,cross_side,436.0,443.25,6.9,0.6,crossing_traffic_near,,,,
4362,parked,444.75,445.08,2.0,1.23,overtaken_by_vehicle,1.23,right,1.0,
4362,parked,444.75,445.08,2.0,1.23,close_pass_under_1p5m,1.23,right,,
4446,cross_side,453.83,460.33,7.8,0.0,crossing_traffic_near,,,,
4463,cross_side,454.5,458.0,11.7,8.42,crossing_traffic_near,,,,
4554,ego_lane,458.42,458.92,2.1,1.58,vehicle_close_in_my_lane,,,,
4849,ego_lane,475.17,475.5,1.7,1.72,vehicle_close_in_my_lane,,,,
4909,parked,479.83,480.42,1.6,1.13,overtaken_by_vehicle,1.13,left,1.4,
4909,parked,479.83,480.42,1.6,1.13,close_pass_under_1p5m,1.13,left,,
5300,ego_lane,507.83,508.08,1.4,0.64,vehicle_close_in_my_lane,,,,
5333,cross_side,508.5,511.5,5.6,0.0,crossing_traffic_near,,,,
5356,parked,509.25,510.08,7.9,6.4,overtaken_by_vehicle,6.64,left,3.4,
5379,cross_side,510.25,511.92,8.8,8.52,crossing_traffic_near,,,,
5394,cross_side,510.92,517.83,7.9,0.0,crossing_traffic_near,,,,
5452,cross_side,515.17,522.83,2.2,0.0,crossing_traffic_near,,,,
5480,cross_side,516.25,517.08,11.6,0.0,crossing_traffic_near,,,,
5508,cross_side,517.58,542.58,10.4,8.74,crossing_traffic_near,,,,
5523,cross_side,518.17,524.92,1.3,0.0,crossing_traffic_near,,,,
5525,cross_side,518.25,519.83,7.1,0.0,crossing_traffic_near,,,,
5536,cross_side,520.17,521.17,11.0,4.07,crossing_traffic_near,,,,
5539,ego_lane,520.33,520.58,1.8,0.0,vehicle_close_in_my_lane,,,,
5541,cross_side,520.75,529.67,1.8,0.0,crossing_traffic_near,,,,
5544,cross_side,521.17,523.0,4.5,0.41,crossing_traffic_near,,,,
5546,cross_side,521.33,524.5,4.3,0.0,crossing_traffic_near,,,,
