frame,time_s,detected_vehicles,contains_vehicle,rolling_mean_5s
1,0.0,17,True,12.573333333333334
2,0.033366700033366704,16,True,12.526315789473685
3,0.06673340006673341,18,True,12.467532467532468
4,0.1001001001001001,19,True,12.435897435897436
5,0.13346680013346682,16,True,12.430379746835444
6,0.16683350016683351,17,True,12.4
7,0.2002002002002002,18,True,12.37037037037037
8,0.2335669002335669,19,True,12.341463414634147
9,0.26693360026693363,16,True,12.301204819277109
10,0.3003003003003003,20,True,12.273809523809524
11,0.33366700033366703,18,True,12.258823529411766
12,0.3670337003670337,16,True,12.244186046511627
13,0.4004004004004004,17,True,12.218390804597702
14,0.4337671004337671,14,True,12.181818181818182
15,0.4671338004671338,15,True,12.146067415730338
16,0.5005005005005005,16,True,12.1
17,0.5338672005338673,15,True,12.076923076923077
18,0.5672339005672339,13,True,12.054347826086957
19,0.6006006006006006,14,True,12.03225806451613
20,0.6339673006339673,13,True,12.01063829787234
21,0.6673340006673341,13,True,11.978947368421053
22,0.7007007007007007,13,True,11.947916666666666
23,0.7340674007340674,17,True,11.917525773195877
24,0.7674341007674341,16,True,11.908163265306122
25,0.8008008008008008,13,True,11.88888888888889
26,0.8341675008341676,13,True,11.87
27,0.8675342008675342,15,True,11.841584158415841
28,0.9009009009009009,14,True,11.813725490196079
29,0.9342676009342676,12,True,11.78640776699029
30,0.9676343009676344,14,True,11.75
31,1.001001001001001,13,True,11.723809523809523
32,1.0343677010343677,15,True,11.69811320754717
33,1.0677344010677345,11,True,11.672897196261681
34,1.1011011011011012,11,True,11.657407407407407
35,1.1344678011344678,12,True,11.63302752293578
36,1.1678345011678346,13,True,11.60909090909091
37,1.2012012012012012,13,True,11.585585585585585
38,1.234567901234568,11,True,11.5625
39,1.2679346012679347,12,True,11.539823008849558
40,1.3013013013013013,13,True,11.508771929824562
41,1.3346680013346681,11,True,11.469565217391304
42,1.3680347013680347,10,True,11.431034482758621
43,1.4014014014014013,12,True,11.41025641025641
44,1.4347681014347682,11,True,11.38135593220339
45,1.4681348014681348,10,True,11.344537815126051
46,1.5015015015015016,10,True,11.325
47,1.5348682015348682,10,True,11.305785123966942
48,1.5682349015682349,11,True,11.28688524590164
49,1.6016016016016017,12,True,11.252032520325203
50,1.6349683016349683,13,True,11.209677419354838
51,1.6683350016683351,12,True,11.184
52,1.7017017017017018,10,True,11.142857142857142
53,1.7350684017350684,10,True,11.125984251968504
54,1.7684351017684352,11,True,11.109375
55,1.8018018018018018,10,True,11.10077519379845
56,1.8351685018351687,13,True,11.076923076923077
57,1.8685352018685353,12,True,11.061068702290076
58,1.901901901901902,11,True,11.045454545454545
59,1.9352686019352687,10,True,11.022556390977444
60,1.9686353019686353,9,True,11.007462686567164
61,2.002002002002002,11,True,10.992592592592592
62,2.0353687020353686,9,True,10.985294117647058
63,2.0687354020687354,8,True,10.97080291970803
64,2.1021021021021022,9,True,10.956521739130435
65,2.135468802135469,9,True,10.928057553956835
66,2.1688355021688355,8,True,10.9
67,2.2022022022022023,9,True,10.900709219858156
68,2.235568902235569,9,True,10.894366197183098
69,2.2689356022689355,9,True,10.874125874125873
70,2.3023023023023024,8,True,10.875
71,2.335669002335669,9,True,10.855172413793104
72,2.3690357023690356,9,True,10.835616438356164
73,2.4024024024024024,8,True,10.829931972789115
74,2.4357691024357693,11,True,10.817567567567568
75,2.469135802469136,8,True,10.812080536912752
76,2.5025025025025025,9,True,10.806666666666667
77,2.5358692025358693,8,True,10.753333333333334
78,2.569235902569236,10,True,10.713333333333333
79,2.6026026026026026,12,True,10.66
80,2.6359693026359694,10,True,10.593333333333334
81,2.6693360026693362,10,True,10.546666666666667
82,2.7027027027027026,10,True,10.5
83,2.7360694027360695,9,True,10.44
84,2.7694361027694363,10,True,10.36
85,2.8028028028028027,11,True,10.3
86,2.8361695028361695,11,True,10.226666666666667
87,2.8695362028695364,10,True,10.16
88,2.902902902902903,9,True,10.12
89,2.9362696029362696,9,True,10.066666666666666
90,2.9696363029696364,8,True,10.033333333333333
91,3.0030030030030033,10,True,9.993333333333334
92,3.0363697030363697,10,True,9.946666666666667
93,3.0697364030697365,10,True,9.9
94,3.1031031031031033,10,True,9.866666666666667
95,3.1364698031364697,9,True,9.826666666666666
96,3.1698365031698366,9,True,9.8
97,3.2032032032032034,9,True,9.766666666666667
98,3.2365699032365702,11,True,9.74
99,3.2699366032699366,10,True,9.686666666666667
100,3.3033033033033035,10,True,9.633333333333333
101,3.3366700033366703,9,True,9.593333333333334
102,3.3700367033700367,9,True,9.546666666666667
103,3.4034034034034035,9,True,9.486666666666666
104,3.4367701034367704,8,True,9.466666666666667
105,3.4701368034701368,9,True,9.44
106,3.5035035035035036,9,True,9.4
107,3.5368702035368704,9,True,9.36
108,3.570236903570237,10,True,9.306666666666667
109,3.6036036036036037,9,True,9.286666666666667
110,3.6369703036369705,9,True,9.266666666666667
111,3.6703370036703373,9,True,9.226666666666667
112,3.7037037037037037,9,True,9.2
113,3.7370704037370706,9,True,9.153333333333334
114,3.7704371037704374,8,True,9.113333333333333
115,3.803803803803804,7,True,9.073333333333334
116,3.8371705038371706,7,True,9.02
117,3.8705372038705375,9,True,8.98
118,3.903903903903904,8,True,8.953333333333333
119,3.9372706039372707,7,True,8.906666666666666
120,3.9706373039706375,9,True,8.88
121,4.004004004004004,9,True,8.86
122,4.037370704037371,9,True,8.826666666666666
123,4.070737404070737,7,True,8.793333333333333
124,4.104104104104104,6,True,8.76
125,4.137470804137471,8,True,8.726666666666667
126,4.170837504170838,6,True,8.686666666666667
127,4.2042042042042045,9,True,8.646666666666667
128,4.237570904237571,9,True,8.633333333333333
129,4.270937604270938,10,True,8.613333333333333
130,4.3043043043043046,8,True,8.593333333333334
131,4.337671004337671,9,True,8.58
132,4.371037704371038,9,True,8.54
133,4.404404404404405,8,True,8.513333333333334
134,4.437771104437771,9,True,8.486666666666666
135,4.471137804471138,9,True,8.473333333333333
136,4.504504504504505,10,True,8.46
137,4.537871204537871,9,True,8.44
138,4.571237904571238,9,True,8.433333333333334
139,4.604604604604605,7,True,8.433333333333334
140,4.637971304637971,7,True,8.426666666666666
141,4.671338004671338,11,True,8.426666666666666
142,4.704704704704705,10,True,8.42
143,4.738071404738071,8,True,8.4
144,4.7714381047714385,11,True,8.38
145,4.804804804804805,8,True,8.353333333333333
146,4.838171504838171,8,True,8.333333333333334
147,4.8715382048715385,10,True,8.32
148,4.904904904904905,9,True,8.293333333333333
149,4.938271604938272,10,True,8.273333333333333
150,4.971638304971639,10,True,8.24
151,5.005005005005005,9,True,8.226666666666667
152,5.038371705038372,10,True,8.226666666666667
153,5.071738405071739,10,True,8.206666666666667
154,5.105105105105105,9,True,8.18
155,5.138471805138472,9,True,8.14
156,5.171838505171839,10,True,8.12
157,5.205205205205205,9,True,8.1
158,5.238571905238572,7,True,8.086666666666666
159,5.271938605271939,7,True,8.073333333333334
160,5.305305305305305,9,True,8.053333333333333
161,5.3386720053386725,8,True,8.026666666666667
162,5.372038705372039,10,True,7.993333333333333
163,5.405405405405405,9,True,7.966666666666667
164,5.4387721054387725,9,True,7.946666666666666
165,5.472138805472139,9,True,7.92
166,5.505505505505505,9,True,7.906666666666666
167,5.538872205538873,8,True,7.873333333333333
168,5.572238905572239,8,True,7.84
169,5.605605605605605,8,True,7.8
170,5.638972305638973,9,True,7.766666666666667
171,5.672339005672339,8,True,7.74
172,5.705705705705706,9,True,7.706666666666667
173,5.739072405739073,9,True,7.68
174,5.772439105772439,8,True,7.633333333333334
175,5.805805805805806,7,True,7.593333333333334
176,5.839172505839173,6,True,7.56
177,5.872539205872539,6,True,7.54
178,5.9059059059059065,11,True,7.526666666666666
179,5.939272605939273,8,True,7.506666666666667
180,5.972639305972639,8,True,7.48
181,6.0060060060060065,7,True,7.446666666666666
182,6.039372706039373,7,True,7.413333333333333
183,6.072739406072739,8,True,7.38
