,num_frames,num_objects,mota,motp,idf1,idp,idr,precision,recall,num_switches,num_fragmentations,mostly_tracked,mostly_lost,mean_matched_iou
baseline,300,4512,0.8098404255319149,0.060756006823162706,0.7246277205040091,0.7498814604077761,0.7010195035460993,0.9414414414414415,0.8800975177304965,70,47,56,13,0.9392439931768373
triplet_strict_0p90,300,4512,0.8098404255319149,0.060756006823162706,0.7099656357388316,0.7347083926031295,0.6868351063829787,0.9414414414414415,0.8800975177304965,70,47,56,13,0.9392439931768373
triplet_0p82,300,4512,0.8098404255319149,0.060756006823162706,0.6964490263459335,0.7207207207207207,0.6737588652482269,0.9414414414414415,0.8800975177304965,70,47,56,13,0.9392439931768373
online_reid_0p80,300,4512,0.7896719858156028,0.06968860201498613,0.6878868258178603,0.6860670194003528,0.6897163120567376,0.9012345679012346,0.9060283687943262,77,63,65,8,0.9303113979850138
online_reid_0p95,300,4512,0.8034131205673759,0.06873807546964024,0.6821029082774049,0.688572719060524,0.6757535460992907,0.9182475158084914,0.9011524822695035,79,57,61,11,0.9312619245303597
online_reid_0p90,300,4512,0.7980939716312057,0.07053514937266692,0.6656253486555841,0.6701864749494496,0.6611258865248227,0.9144012581442372,0.9020390070921985,88,58,61,10,0.9294648506273331
triplet_calibrated,300,4512,0.8098404255319149,0.060756006823162706,0.6048109965635738,0.6258890469416786,0.5851063829787234,0.9414414414414415,0.8800975177304965,70,47,56,13,0.9392439931768373
