track_id,relation,t_start,t_end,z_min_m,x_inner_absmin_m,event,clearance_m,side,speed_difference_mps,score
2,cross_side,0.0,1.08,9.0,1.47,crossing_traffic_near,,,,
35,cross_side,2.17,3.33,6.4,0.0,crossing_traffic_near,,,,
87,cross_side,8.33,9.67,11.0,2.82,crossing_traffic_near,,,,
369,cross_side,41.92,42.92,5.2,3.27,crossing_traffic_near,,,,
371,cross_side,42.0,43.42,3.1,0.0,crossing_traffic_near,,,,
381,cross_side,43.25,43.58,4.5,1.99,crossing_traffic_near,,,,
425,ego_lane,59.25,60.75,2.2,0.0,vehicle_close_in_my_lane,,,,
468,ego_lane,93.08,97.33,1.6,0.17,vehicle_close_in_my_lane,,,,
498,ego_lane,118.92,119.33,5.8,2.03,vehicle_close_in_my_lane,,,,
679,cross_side,267.67,271.42,10.3,0.0,crossing_traffic_near,,,,
685,cross_side,268.25,272.33,6.8,1.65,crossing_traffic_near,,,,
1051,cross_side,298.75,301.92,6.2,5.94,crossing_traffic_near,,,,
1504,ego_lane,338.17,339.0,1.9,1.3,overtaken_by_vehicle,1.39,left,1.1,
1504,ego_lane,338.17,339.0,1.9,1.3,close_pass_under_1p5m,1.39,left,,
1504,ego_lane,338.17,339.0,1.9,1.3,vehicle_close_in_my_lane,,,,
1546,oncoming,341.08,344.83,7.5,10.48,overtaken_by_vehicle,10.48,left,0.8,
1644,oncoming,351.42,361.0,1.6,0.82,oncoming_close_pass,,,,
1793,parked,365.5,366.5,1.9,0.68,overtaken_by_vehicle,0.68,right,1.0,
1793,parked,365.5,366.5,1.9,0.68,close_pass_under_1p5m,0.68,right,,
1859,cross_side,373.0,377.08,8.8,0.0,crossing_traffic_near,,,,
1861,ego_lane,373.75,374.0,2.3,0.0,vehicle_close_in_my_lane,,,,
1931,adjacent_same,389.42,392.17,1.8,1.26,overtaken_by_vehicle,1.26,left,3.0,
1931,adjacent_same,389.42,392.17,1.8,1.26,close_pass_under_1p5m,1.26,left,,
1955,parked,391.67,404.0,7.5,0.0,overtaken_by_vehicle,3.17,left,2.8,
1967,cross_side,392.25,393.0,11.6,17.66,crossing_traffic_near,,,,
2042,parked,396.33,407.0,4.6,3.74,overtaken_by_vehicle,4.66,left,3.0,
2057,ego_lane,397.08,397.33,1.8,0.65,overtaken_by_vehicle,0.65,right,0.9,
2057,ego_lane,397.08,397.33,1.8,0.65,close_pass_under_1p5m,0.65,right,,
2057,ego_lane,397.08,397.33,1.8,0.65,vehicle_close_in_my_lane,,,,
2211,ego_lane,405.17,424.5,1.6,1.0,overtaken_by_vehicle,1.18,left,1.2,
2211,ego_lane,405.17,424.5,1.6,1.0,close_pass_under_1p5m,1.18,left,,
2211,ego_lane,405.17,424.5,1.6,1.0,vehicle_close_in_my_lane,,,,
2276,ego_lane,413.17,432.33,1.4,0.82,vehicle_close_in_my_lane,,,,
2315,cross_side,417.5,419.0,11.8,13.4,crossing_traffic_near,,,,
2480,cross_side,430.0,433.83,10.1,0.7,crossing_traffic_near,,,,
2951,ego_lane,472.42,473.0,2.0,0.23,vehicle_close_in_my_lane,,,,
3041,cross_side,478.25,481.42,8.8,10.12,crossing_traffic_near,,,,
3081,cross_side,480.25,482.83,4.5,6.31,crossing_traffic_near,,,,
3115,cross_side,481.17,482.83,6.1,3.94,crossing_traffic_near,,,,
3144,ego_lane,482.25,488.42,4.3,4.77,vehicle_close_in_my_lane,,,,
3198,adjacent_same,487.25,514.17,1.7,0.73,overtaken_by_vehicle,1.76,left,0.5,
3215,cross_side,488.58,491.0,4.4,0.0,crossing_traffic_near,,,,
3321,cross_side,498.5,513.75,10.7,0.0,crossing_traffic_near,,,,
3361,cross_side,501.83,507.67,11.5,10.45,crossing_traffic_near,,,,
3420,parked,507.33,514.75,1.9,2.36,overtaken_by_vehicle,2.36,left,1.3,
3445,cross_side,511.75,527.33,10.0,0.69,crossing_traffic_near,,,,
3449,cross_side,512.0,514.25,10.2,4.71,crossing_traffic_near,,,,
3498,cross_side,519.25,522.5,8.0,7.71,crossing_traffic_near,,,,
3574,ego_lane,527.83,530.5,4.5,3.4,vehicle_close_in_my_lane,,,,
3576,ego_lane,527.92,533.25,1.7,1.27,vehicle_close_in_my_lane,,,,
3622,parked,531.17,531.67,7.1,6.5,overtaken_by_vehicle,6.5,left,6.6,
3757,cross_side,539.42,547.0,1.9,0.0,crossing_traffic_near,,,,
3786,cross_side,542.25,543.33,11.8,2.97,crossing_traffic_near,,,,
3791,cross_side,542.58,544.58,10.5,2.61,crossing_traffic_near,,,,
3793,cross_side,542.92,545.0,7.8,0.0,crossing_traffic_near,,,,
3795,cross_side,543.0,545.67,8.6,8.34,crossing_traffic_near,,,,
3801,cross_side,543.67,549.42,1.5,0.0,crossing_traffic_near,,,,
3808,cross_side,544.25,544.75,11.4,5.42,crossing_traffic_near,,,,
3810,cross_side,544.83,545.67,5.0,0.22,crossing_traffic_near,,,,
3812,cross_side,544.92,551.08,8.0,13.54,crossing_traffic_near,,,,
3813,cross_side,545.0,552.75,8.7,12.74,crossing_traffic_near,,,,
3817,cross_side,545.33,549.33,9.6,0.0,crossing_traffic_near,,,,
3824,cross_side,546.5,548.42,6.5,4.66,crossing_traffic_near,,,,
3826,cross_side,547.17,557.67,10.7,15.77,crossing_traffic_near,,,,
3830,cross_side,547.58,553.08,8.3,12.53,crossing_traffic_near,,,,
3831,cross_side,547.67,551.67,1.6,0.0,crossing_traffic_near,,,,
3838,cross_side,548.17,560.58,11.0,0.0,crossing_traffic_near,,,,
3840,cross_side,548.42,552.25,8.9,0.0,crossing_traffic_near,,,,
3852,cross_side,549.25,561.67,5.8,4.94,crossing_traffic_near,,,,
3859,cross_side,550.0,554.08,1.7,0.0,crossing_traffic_near,,,,
3860,cross_side,550.25,550.58,9.0,19.01,crossing_traffic_near,,,,
3874,cross_side,551.75,560.58,4.0,0.0,crossing_traffic_near,,,,
3885,cross_side,553.0,557.25,1.6,0.0,crossing_traffic_near,,,,
3897,cross_side,554.83,556.33,9.2,15.28,crossing_traffic_near,,,,
3899,cross_side,555.08,558.17,4.2,0.0,crossing_traffic_near,,,,
3902,cross_side,555.5,558.83,2.7,0.0,crossing_traffic_near,,,,
3923,cross_side,557.92,565.75,1.9,0.0,crossing_traffic_near,,,,
3932,cross_side,558.67,564.08,5.8,0.0,crossing_traffic_near,,,,
3937,cross_side,560.25,576.42,8.3,0.0,crossing_traffic_near,,,,
3939,cross_side,560.33,566.58,1.9,0.23,crossing_traffic_near,,,,
3942,cross_side,560.75,577.42,8.9,6.07,crossing_traffic_near,,,,
3944,cross_side,561.08,578.83,4.3,4.77,crossing_traffic_near,,,,
3945,cross_side,561.08,562.33,8.9,12.07,crossing_traffic_near,,,,
3949,cross_side,561.75,564.5,8.3,17.55,crossing_traffic_near,,,,
3951,cross_side,562.0,564.33,7.4,14.57,crossing_traffic_near,,,,
3953,cross_side,562.42,576.25,3.7,0.0,crossing_traffic_near,,,,
3957,cross_side,563.5,564.58,10.0,11.51,crossing_traffic_near,,,,
3962,cross_side,564.17,572.0,4.2,0.0,crossing_traffic_near,,,,
3964,cross_side,564.42,574.5,8.2,1.76,crossing_traffic_near,,,,
3967,cross_side,565.25,567.0,1.8,1.12,crossing_traffic_near,,,,
3970,cross_side,565.75,566.25,11.6,6.66,crossing_traffic_near,,,,
3975,cross_side,567.33,571.25,4.1,0.0,crossing_traffic_near,,,,
3976,cross_side,567.33,574.5,6.0,6.38,crossing_traffic_near,,,,
3977,cross_side,567.83,575.25,7.3,6.47,crossing_traffic_near,,,,
3991,ego_lane,572.92,574.0,5.8,0.0,vehicle_close_in_my_lane,,,,
3994,cross_side,573.58,578.75,5.5,2.59,crossing_traffic_near,,,,
3995,ego_lane,573.75,574.25,2.1,0.0,vehicle_close_in_my_lane,,,,
3996,cross_side,573.83,575.67,11.4,9.83,crossing_traffic_near,,,,
4000,cross_side,574.33,576.5,5.6,0.0,crossing_traffic_near,,,,
4001,cross_side,574.33,578.33,5.4,0.0,crossing_traffic_near,,,,
4032,cross_side,577.5,578.5,9.4,12.3,crossing_traffic_near,,,,
4075,cross_side,582.0,584.5,4.8,3.25,crossing_traffic_near,,,,
4092,cross_side,583.33,586.92,7.8,2.21,crossing_traffic_near,,,,
4224,cross_side,604.17,607.25,10.3,8.54,crossing_traffic_near,,,,
4330,adjacent_same,622.08,633.08,2.6,1.87,overtaken_by_vehicle,1.91,left,1.8,
4546,cross_side,653.83,654.42,6.0,4.35,crossing_traffic_near,,,,
4601,cross_side,659.17,661.75,2.5,0.0,crossing_traffic_near,,,,
4604,cross_side,659.75,662.83,10.7,7.13,crossing_traffic_near,,,,
4629,cross_side,662.17,662.67,7.2,2.03,overtaken_by_vehicle,2.16,left,1.9,
4629,cross_side,662.17,662.67,7.2,2.03,crossing_traffic_near,,,,
4643,cross_side,664.5,670.0,7.6,7.1,crossing_traffic_near,,,,
4690,ego_lane,671.33,675.5,2.0,1.83,vehicle_close_in_my_lane,,,,
4707,cross_side,678.0,682.33,7.8,0.0,crossing_traffic_near,,,,
4795,cross_side,700.42,703.33,9.9,0.0,crossing_traffic_near,,,,
4829,cross_side,703.58,704.33,2.8,0.0,crossing_traffic_near,,,,
4841,cross_side,705.42,753.67,10.0,0.0,crossing_traffic_near,,,,
4842,cross_side,707.17,755.08,1.8,0.0,crossing_traffic_near,,,,
4863,cross_side,711.75,712.42,9.5,5.84,crossing_traffic_near,,,,
4872,cross_side,712.83,714.08,11.6,0.03,crossing_traffic_near,,,,
4876,cross_side,715.0,715.92,11.6,7.83,crossing_traffic_near,,,,
4892,cross_side,723.25,728.5,3.2,0.0,crossing_traffic_near,,,,
4895,cross_side,723.67,732.08,9.9,0.0,crossing_traffic_near,,,,
4901,cross_side,724.75,725.25,8.4,5.78,crossing_traffic_near,,,,
4905,cross_side,725.25,726.58,11.6,0.0,crossing_traffic_near,,,,
4910,cross_side,726.75,727.0,5.1,0.0,crossing_traffic_near,,,,
4915,cross_side,729.67,737.5,10.7,4.15,crossing_traffic_near,,,,
4924,cross_side,732.83,751.75,7.7,8.82,crossing_traffic_near,,,,
4942,cross_side,738.17,738.75,10.0,0.0,crossing_traffic_near,,,,
4943,cross_side,738.17,742.25,10.9,0.0,crossing_traffic_near,,,,
4961,cross_side,740.5,752.83,9.3,8.6,crossing_traffic_near,,,,
4968,cross_side,742.25,744.42,6.7,0.0,crossing_traffic_near,,,,
4971,cross_side,742.75,745.33,5.7,0.0,crossing_traffic_near,,,,
4986,cross_side,744.33,746.17,5.7,0.0,crossing_traffic_near,,,,
4988,cross_side,744.58,746.67,11.1,0.0,crossing_traffic_near,,,,
4995,cross_side,745.08,746.0,5.8,0.0,crossing_traffic_near,,,,
5052,cross_side,750.67,753.17,4.7,4.17,crossing_traffic_near,,,,
5060,cross_side,751.08,752.33,10.3,13.27,crossing_traffic_near,,,,
5137,parked,755.75,757.17,7.6,6.45,overtaken_by_vehicle,6.55,left,1.6,
5168,parked,758.92,759.17,7.4,1.28,overtaken_by_vehicle,1.28,right,0.9,
5168,parked,758.92,759.17,7.4,1.28,close_pass_under_1p5m,1.28,right,,
5407,cross_side,788.92,793.0,11.1,13.91,crossing_traffic_near,,,,
5441,cross_side,793.58,796.42,9.0,10.79,crossing_traffic_near,,,,
5443,cross_side,794.58,799.17,6.5,0.0,crossing_traffic_near,,,,
5449,cross_side,796.08,825.67,5.7,0.0,crossing_traffic_near,,,,
5452,cross_side,798.33,799.75,10.4,18.16,crossing_traffic_near,,,,
5455,cross_side,799.33,806.42,10.8,0.89,crossing_traffic_near,,,,
5456,cross_side,799.5,803.17,11.0,18.56,crossing_traffic_near,,,,
5458,cross_side,799.75,805.17,7.0,0.0,crossing_traffic_near,,,,
5461,cross_side,802.5,828.58,9.6,0.0,crossing_traffic_near,,,,
5468,cross_side,804.5,827.42,10.3,13.05,crossing_traffic_near,,,,
5471,cross_side,807.33,808.5,10.2,17.95,crossing_traffic_near,,,,
5476,cross_side,810.0,810.58,10.7,18.89,crossing_traffic_near,,,,
5495,cross_side,816.33,820.58,9.1,0.0,crossing_traffic_near,,,,
5496,cross_side,818.25,825.58,11.8,8.12,crossing_traffic_near,,,,
5507,cross_side,826.67,830.08,6.2,0.0,crossing_traffic_near,,,,
5673,ego_lane,843.92,844.17,1.8,0.74,vehicle_close_in_my_lane,,,,
5742,ego_lane,847.92,849.17,1.5,0.54,overtaken_by_vehicle,0.57,left,0.9,
5742,ego_lane,847.92,849.17,1.5,0.54,close_pass_under_1p5m,0.57,left,,
