,num_frames,num_objects,mota,idf1,idp,idr,precision,recall,num_switches,num_fragmentations,mostly_tracked,num_unique_objects
benchmark_30fps,300,4512,0.8096187943262412,0.6836930726635778,0.697486741987549,0.6704343971631206,0.9289831680885404,0.8929521276595744,68,55,56,89
benchmark_30fps + vehicle ids,300,4512,0.8144946808510638,0.6766866312577693,0.6988795518207283,0.663563829787234,0.9289831680885404,0.8929521276595744,46,55,56,89
"benchmark_30fps, duplicates removed",300,4432,0.8158844765342961,0.6852553069420539,0.6971748774223675,0.6737364620938628,0.9273873453187018,0.8962093862815884,45,57,52,77
"benchmark_30fps, duplicates removed + break joins",300,4432,0.8158844765342961,0.6852553069420539,0.6971748774223675,0.6737364620938628,0.9273873453187018,0.8962093862815884,45,57,52,77
pipeline_15fps,150,2258,0.7745792736935341,0.6652709932542452,0.7006369426751592,0.633303808680248,0.9372856442920137,0.8472099202834367,36,38,44,87
pipeline_15fps + vehicle ids,150,2258,0.7759078830823738,0.6620144219585951,0.702716049382716,0.6302037201062888,0.9372856442920137,0.8472099202834367,33,38,44,87
"pipeline_15fps, duplicates removed",150,2219,0.7805317710680486,0.6696512723845429,0.7017283950617283,0.6403785488958991,0.9358024691358025,0.853988283010365,33,38,43,75
"pipeline_15fps, duplicates removed + break joins",150,2219,0.7805317710680486,0.6696512723845429,0.7017283950617283,0.6403785488958991,0.9358024691358025,0.853988283010365,33,38,43,75
