setting,processed_fps,tracks,duplicate_links,break_links,vehicles,break_links_without_duplicates,reference_duplicate_tracks
benchmark_30fps,29.97,60,11,0,49,0,12
pipeline_15fps,14.99,44,4,0,40,0,12
