track_id,relation,t_start,t_end,z_min_m,x_inner_absmin_m,event,clearance_m,side,speed_difference_mps,score
11,parked,3.33,4.67,2.9,1.54,overtaken_by_vehicle,1.93,left,10.9,
294,cross_side,26.5,31.08,5.9,6.63,crossing_traffic_near,,,,
351,cross_side,32.17,41.42,9.7,0.0,crossing_traffic_near,,,,
475,parked,42.25,67.17,2.1,0.0,overtaken_by_vehicle,1.35,left,2.5,
475,parked,42.25,67.17,2.1,0.0,close_pass_under_1p5m,1.35,left,,
511,parked,46.75,67.17,3.9,0.0,overtaken_by_vehicle,4.75,left,2.7,
576,cross_side,64.58,67.42,7.4,0.0,crossing_traffic_near,,,,
634,ego_lane,73.92,75.75,1.4,0.0,vehicle_close_in_my_lane,,,,
637,ego_lane,74.25,74.67,5.3,0.0,vehicle_close_in_my_lane,,,,
647,cross_side,76.75,79.58,3.9,0.0,crossing_traffic_near,,,,
650,cross_side,76.92,79.33,4.1,0.0,crossing_traffic_near,,,,
654,cross_side,77.67,79.42,8.3,4.81,crossing_traffic_near,,,,
655,cross_side,77.75,79.5,4.7,0.56,crossing_traffic_near,,,,
660,cross_side,78.67,79.5,6.9,5.76,overtaken_by_vehicle,7.44,left,7.3,
660,cross_side,78.67,79.5,6.9,5.76,crossing_traffic_near,,,,
665,cross_side,79.08,80.17,4.5,0.0,crossing_traffic_near,,,,
800,cross_side,102.75,103.5,4.4,5.43,crossing_traffic_near,,,,
1114,ego_lane,151.08,152.0,1.3,0.52,vehicle_close_in_my_lane,,,,
1116,cross_side,151.17,153.08,11.2,0.0,crossing_traffic_near,,,,
1406,cross_side,171.33,176.42,7.0,6.71,crossing_traffic_near,,,,
1467,cross_side,176.17,182.17,7.6,0.0,crossing_traffic_near,,,,
1523,parked,181.42,182.58,6.8,8.38,overtaken_by_vehicle,8.58,right,0.9,
1537,ego_lane,182.42,304.17,1.3,0.0,vehicle_close_in_my_lane,,,,
1565,cross_side,187.0,188.42,2.2,1.1,crossing_traffic_near,,,,
1569,cross_side,187.42,188.08,5.9,6.43,crossing_traffic_near,,,,
1582,cross_side,188.75,191.17,2.3,1.58,crossing_traffic_near,,,,
1658,cross_side,196.33,206.67,11.3,0.0,crossing_traffic_near,,,,
1672,cross_side,198.17,203.58,11.7,1.51,crossing_traffic_near,,,,
1685,cross_side,200.08,204.42,10.8,4.87,crossing_traffic_near,,,,
1690,cross_side,200.58,202.17,11.9,3.07,crossing_traffic_near,,,,
1705,cross_side,202.75,207.5,11.1,4.51,crossing_traffic_near,,,,
1714,cross_side,204.17,204.92,10.7,2.73,crossing_traffic_near,,,,
1783,cross_side,227.58,232.58,9.1,1.96,crossing_traffic_near,,,,
1790,ego_lane,229.33,229.58,2.1,0.34,vehicle_close_in_my_lane,,,,
1799,ego_lane,230.17,231.17,1.8,0.18,vehicle_close_in_my_lane,,,,
1805,ego_lane,231.83,232.08,1.6,0.1,vehicle_close_in_my_lane,,,,
