second,timestamp_local,ego_speed_mps,ego_moving,p_separated_path,p_bike_lane,p_shared_road,scene,n_ego_lane,n_adjacent_same,n_oncoming,n_parked,n_cross_side,min_z_ego_lane_m,min_lateral_adjacent_m,min_lateral_oncoming_m,door_zone_parked
0,2026-02-24T09:11:19,3.2270242525432886,True,0.041417972495158516,0.01442052579174439,0.9441614747047424,shared_road,1.0,0.0,0.0,4.0,0.0,36.58206,,,0
1,2026-02-24T09:11:20,2.7311680571815233,True,0.04013453982770443,0.015748268691822886,0.9441171586513519,shared_road,1.0,0.0,0.0,5.0,0.0,39.52373,,,0
2,2026-02-24T09:11:21,2.12145030532103,True,0.0343619367107749,0.015301824547350407,0.950336217880249,shared_road,0.0,0.0,0.0,4.0,0.0,,,,0
3,2026-02-24T09:11:22,1.1735055922467539,True,0.02463311105966568,0.014944070018827915,0.9604227900505066,shared_road,0.0,0.0,0.0,3.0,0.0,,,,0
4,2026-02-24T09:11:23,1.097069463294643,True,0.12001313641667366,0.02189718894660473,0.8580896615982055,shared_road,0.0,0.0,0.0,4.0,0.0,,,,0
5,2026-02-24T09:11:24,1.130546558595368,True,0.20645636394619943,0.032895443588495256,0.7606481909751892,shared_road,0.0,0.0,0.0,2.0,0.0,,,,0
6,2026-02-24T09:11:25,0.6724856243761803,False,0.2190548673272133,0.04444005005061626,0.736505103111267,shared_road,0.0,0.0,0.0,2.0,0.0,,,,0
7,2026-02-24T09:11:26,0.8308831369049132,False,0.21847193781286478,0.043788185343146324,0.7377398848533631,shared_road,0.0,0.0,0.0,3.0,0.0,,,,0
8,2026-02-24T09:11:27,1.3643089301486229,True,0.22146142236888408,0.04487765543162823,0.7336609482765197,shared_road,0.0,0.0,0.0,6.0,0.0,,,,0
9,2026-02-24T09:11:28,0.952254816969985,False,0.12423641085624695,0.037735008914023635,0.8380285978317261,shared_road,0.0,1.0,0.0,5.0,0.0,,18.25960107358503,,0
10,2026-02-24T09:11:29,1.2430928320117935,True,0.03501880131661892,0.024315103236585856,0.9406661033630371,shared_road,0.0,1.0,0.0,7.0,0.0,,19.066245019539927,,0
11,2026-02-24T09:11:30,1.7652003652983774,True,0.016754383221268654,0.010202021431177854,0.9730435848236084,shared_road,0.0,3.0,0.0,7.0,0.0,,,,0
12,2026-02-24T09:11:31,2.5610904416375657,True,0.016549485363066198,0.008850883180275559,0.9745996236801148,shared_road,0.0,5.0,0.0,9.0,0.0,,20.372581254124665,,2
13,2026-02-24T09:11:32,3.1888471267264062,True,0.014047077670693398,0.03986623459495604,0.9460866570472717,shared_road,1.0,6.0,0.0,9.0,0.0,14.611735,19.451944794361733,,0
14,2026-02-24T09:11:33,4.862622585324091,True,0.01020964877679944,0.040679268864914776,0.9491110563278198,shared_road,0.0,1.0,0.0,9.0,0.0,,,,0
15,2026-02-24T09:11:34,3.9386362325886344,True,0.007418381236493588,0.060246009333059194,0.9323355913162231,shared_road,0.0,0.0,0.0,12.0,0.0,,,,3
16,2026-02-24T09:11:35,4.972771563451612,True,0.00772995725274086,0.06288304156623781,0.9293869972229004,shared_road,0.0,0.0,0.0,19.0,0.0,,,,1
17,2026-02-24T09:11:36,5.051650959685391,True,0.008836568333208561,0.09056835193186999,0.9005950808525085,shared_road,0.0,0.0,0.0,18.0,0.0,,,,3
18,2026-02-24T09:11:37,5.573678567118183,True,0.007065937109291554,0.06670683044940233,0.9262272596359253,shared_road,1.0,0.0,0.0,18.0,0.0,38.93405,,,2
19,2026-02-24T09:11:38,5.912372468348847,True,0.008925891574472189,0.09358448460698128,0.8974896550178528,shared_road,0.0,1.0,0.0,18.0,0.0,,,,3
20,2026-02-24T09:11:39,6.389360369122206,True,0.01027892753481865,0.09142218306660652,0.8982989072799683,shared_road,0.0,1.0,0.0,18.0,0.0,,,,2
21,2026-02-24T09:11:40,5.908392635109193,True,0.009895017929375171,0.10382573008537292,0.8862792611122131,shared_road,1.0,1.0,0.0,15.0,0.0,27.633656,,,0
22,2026-02-24T09:11:41,6.416848339575463,True,0.009235203266143799,0.07904472164809703,0.911720073223114,shared_road,0.0,1.0,0.0,16.0,0.0,,,,0
23,2026-02-24T09:11:42,7.007471989889531,True,0.00905832340940833,0.07029909286648035,0.9206425666809082,shared_road,1.0,1.0,0.0,20.0,0.0,25.502083,,,0
24,2026-02-24T09:11:43,6.867993353884206,True,0.006590848183259368,0.04418147224932909,0.9492276549339295,shared_road,0.0,0.0,0.0,20.0,0.0,,,,0
25,2026-02-24T09:11:44,6.4079993301078755,True,0.004568391758948564,0.02709908187389374,0.9683325052261352,shared_road,0.0,1.0,0.0,15.0,0.0,,,,0
26,2026-02-24T09:11:45,6.336259061114332,True,0.003459561662748456,0.013926348835229873,0.9826140642166138,shared_road,0.0,2.0,0.0,14.0,1.0,,,,0
27,2026-02-24T09:11:46,5.398410109906767,True,0.003023557877168059,0.01958782635629177,0.977388596534729,shared_road,0.0,2.0,0.0,15.0,1.0,,,,0
28,2026-02-24T09:11:47,5.802158134926391,True,0.0032730018720030785,0.022678777016699313,0.9740481972694397,shared_road,0.0,4.0,0.0,12.0,1.0,,,,0
29,2026-02-24T09:11:48,5.072257741413661,True,0.0038035901729017497,0.02169496351853013,0.9745014190673829,shared_road,0.0,3.0,0.0,13.0,1.0,,,,0
30,2026-02-24T09:11:49,5.300670290557075,True,0.004081818461418152,0.021811357233673334,0.9741068005561828,shared_road,0.0,3.0,0.0,14.0,1.0,,,,0
31,2026-02-24T09:11:50,4.867999023235348,True,0.008104413794353605,0.02022003224119544,0.9716755270957946,shared_road,0.0,1.0,0.0,9.0,1.0,,,,1
32,2026-02-24T09:11:51,4.261016504156874,True,0.02343085533939302,0.014457717072218657,0.9621114134788513,shared_road,0.0,0.0,0.0,11.0,1.0,,,,2
33,2026-02-24T09:11:52,3.785686638373014,True,0.026693623512983322,0.014270153176039458,0.9590362191200257,shared_road,0.0,0.0,0.0,8.0,2.0,,,,2
34,2026-02-24T09:11:53,3.169350501786822,True,0.026522622862830757,0.014657505974173545,0.9588198900222779,shared_road,0.0,1.0,0.0,8.0,4.0,,,,1
35,2026-02-24T09:11:54,2.759054192110808,True,0.02743936232291162,0.015555420331656933,0.95700523853302,shared_road,0.0,0.0,0.0,8.0,5.0,,,,0
36,2026-02-24T09:11:55,2.0507626749313896,True,0.02370271775871515,0.016194337420165537,0.9601029753684998,shared_road,0.0,2.0,0.0,6.0,6.0,,,,0
37,2026-02-24T09:11:56,1.5795078361130679,True,0.009308677539229393,0.019815020449459552,0.9708763241767884,shared_road,0.0,1.0,0.0,6.0,8.0,,16.89055725660264,,0
38,2026-02-24T09:11:57,1.1096481709006154,True,0.00759690310806036,0.017432663962244986,0.9749704599380493,shared_road,0.0,0.0,0.0,8.0,9.0,,,,0
39,2026-02-24T09:11:58,1.0224813327500495,True,0.011327761644497513,0.020792131498456,0.967880129814148,shared_road,0.0,0.0,0.0,9.0,7.0,,,,0
40,2026-02-24T09:11:59,1.9248880426167503,True,0.01288701561279595,0.026864264532923697,0.9602487325668335,shared_road,0.0,1.0,0.0,8.0,4.0,,9.625869379854523,,0
41,2026-02-24T09:12:00,2.740495003366328,True,0.01475451122969389,0.040387999080121514,0.9448575139045715,shared_road,0.0,0.0,0.0,7.0,4.0,,,,0
42,2026-02-24T09:12:01,4.710928539606357,True,0.04365997575223446,0.033984594885259865,0.9223554491996765,shared_road,0.0,2.0,0.0,9.0,1.0,,,,0
43,2026-02-24T09:12:02,4.369874446911922,True,0.06073924098163843,0.0338488289155066,0.9054119229316712,shared_road,0.0,2.0,0.0,7.0,0.0,,,,0
44,2026-02-24T09:12:03,5.206684174532667,True,0.0833132991567254,0.030702480021864174,0.885984194278717,shared_road,0.0,2.0,0.0,6.0,0.0,,,,0
45,2026-02-24T09:12:04,6.80749570262868,True,0.11326672788709402,0.03197964737191796,0.854753601551056,shared_road,0.0,1.0,0.0,5.0,0.0,,,,0
46,2026-02-24T09:12:05,6.55697693539737,True,0.1443136528134346,0.020613340381532907,0.8350729823112488,shared_road,0.0,3.0,0.0,6.0,0.0,,,,0
47,2026-02-24T09:12:06,5.119801364443175,True,0.12568155080080032,0.022088927775621416,0.8522294998168946,shared_road,0.0,3.0,0.0,5.0,0.0,,13.089987287099357,,0
48,2026-02-24T09:12:07,7.323130705550151,True,0.28319489061832426,0.021767806261777878,0.6950372979044914,shared_road,0.0,3.0,0.0,5.0,0.0,,13.964434265474681,,0
49,2026-02-24T09:12:08,8.235411186478546,True,0.2819904267787933,0.021125969756394625,0.6968836113810539,shared_road,0.0,2.0,0.0,4.0,0.0,,11.081451954910102,,0
50,2026-02-24T09:12:09,8.716860084309099,True,0.25531369522213937,0.011270068725571037,0.7334162518382072,shared_road,0.0,0.0,0.0,3.0,0.0,,,,0
51,2026-02-24T09:12:10,7.368622884653824,True,0.22783067151904107,0.017275451263412834,0.7548938795924187,shared_road,0.0,1.0,0.0,2.0,0.0,,,,0
52,2026-02-24T09:12:11,6.865332935939471,True,0.22501549646258354,0.025301527930423617,0.749682979285717,shared_road,0.0,1.0,0.0,2.0,0.0,,,,0
53,2026-02-24T09:12:12,5.524243484132711,True,0.058501352369785306,0.05008033602498472,0.8914183259010315,shared_road,0.0,1.0,0.0,2.0,0.0,,,,0
54,2026-02-24T09:12:13,6.309838672278734,True,0.05030749440193176,0.0712396499235183,0.8784528613090515,shared_road,0.0,1.0,0.0,2.0,0.0,,,,0
55,2026-02-24T09:12:14,7.000342277518167,True,0.048612892627716064,0.07449159547686576,0.8768954992294311,shared_road,1.0,1.0,0.0,2.0,0.0,40.698246,,,0
56,2026-02-24T09:12:15,7.90950550206121,True,0.049651410430669785,0.09308474659919738,0.8572638273239136,shared_road,1.0,1.0,0.0,3.0,0.0,46.2031,,,0
57,2026-02-24T09:12:16,7.666838776557358,True,0.05349038764834404,0.1008957341313362,0.8456138730049133,shared_road,0.0,0.0,0.0,4.0,0.0,,,,0
58,2026-02-24T09:12:17,8.983940601615814,True,0.045453472249209884,0.07612799443304538,0.8784185171127319,shared_road,0.0,0.0,0.0,5.0,0.0,,,,0
59,2026-02-24T09:12:18,8.116708560141966,True,0.03261965233832598,0.06398791633546352,0.9033924221992493,shared_road,0.0,0.0,0.0,9.0,0.0,,,,0
60,2026-02-24T09:12:19,5.6037633420485164,True,0.0316674517467618,0.0771711241453886,0.8911614418029785,shared_road,0.0,1.0,0.0,8.0,0.0,,,,0
61,2026-02-24T09:12:20,4.588546590617758,True,0.03294029925018549,0.06726201735436917,0.8997977018356323,shared_road,0.0,1.0,0.0,7.0,0.0,,,,0
62,2026-02-24T09:12:21,4.829462892374706,True,0.021069974452257157,0.060218633338809016,0.9187114000320434,shared_road,0.0,2.0,0.0,10.0,0.0,,0.0,,0
63,2026-02-24T09:12:22,5.053105638254349,True,0.026862622983753682,0.061000918969511986,0.9121364712715149,shared_road,0.0,2.0,0.0,10.0,0.0,,1.3589945519571567,,0
64,2026-02-24T09:12:23,4.386132103557992,True,0.024964244663715364,0.051689607091248035,0.9233461618423462,shared_road,0.0,1.0,0.0,7.0,1.0,,,,0
65,2026-02-24T09:12:24,4.410265189495984,True,0.04259999319911003,0.04644995275884867,0.9109500527381897,shared_road,0.0,1.0,0.0,4.0,1.0,,0.0,,0
66,2026-02-24T09:12:25,3.7542184092602398,True,0.16281802877783774,0.029988695122301578,0.8071932911872863,shared_road,0.0,1.0,0.0,4.0,1.0,,0.0,,0
67,2026-02-24T09:12:26,4.273096474382749,True,0.35289441887289286,0.019138421595562248,0.6279671803116799,shared_road,0.0,0.0,0.0,4.0,1.0,,,,0
